Network layer on host 2 initialised
1538215836.93: Sent packet 0 of size 137
1538215837.08: Sent packet 1 of size 141
1538215837.31: Sent packet 2 of size 6
1538215837.45: Sent packet 3 of size 56
1538215837.55: Sent packet 4 of size 100
1538215837.56: Sent packet 5 of size 142
1538215837.56: Sent packet 6 of size 205
1538215837.56: Sent packet 7 of size 52
1538215837.58: Sent packet 8 of size 134
1538215837.71: Sent packet 9 of size 10
1538215837.74: Sent packet 10 of size 99
1538215837.77: Sent packet 11 of size 145
1538215838.00: Sent packet 12 of size 142
1538215838.01: Sent packet 13 of size 110
1538215838.12: Sent packet 14 of size 75
1538215838.26: Sent packet 15 of size 181
1538215838.54: Sent packet 16 of size 131
1538215838.62: Sent packet 17 of size 8
1538215838.67: Sent packet 18 of size 109
1538215838.75: Sent packet 19 of size 60
1538215838.78: Sent packet 20 of size 102
1538215838.78: Sent packet 21 of size 26
1538215838.78: Sent packet 22 of size 165
1538215838.96: Sent packet 23 of size 63
1538215839.01: Sent packet 24 of size 174
1538215839.45: Sent packet 25 of size 122
1538215839.56: Sent packet 26 of size 218
1538215839.64: Sent packet 27 of size 170
1538215839.75: Sent packet 28 of size 63
1538215839.87: Sent packet 29 of size 84
1538215840.00: Sent packet 30 of size 235
1538215840.16: Sent packet 31 of size 22
1538215840.41: Sent packet 32 of size 81
1538215840.69: Sent packet 33 of size 84
1538215841.13: Sent packet 34 of size 141
1538215841.17: Sent packet 35 of size 211
1538215841.23: Sent packet 36 of size 68
1538215841.23: Sent packet 37 of size 81
1538215841.24: Sent packet 38 of size 160
1538215841.24: Sent packet 39 of size 132
1538215841.24: Sent packet 40 of size 53
1538215841.84: Sent packet 41 of size 179
1538215841.99: Sent packet 42 of size 84
1538215842.10: Sent packet 43 of size 16
1538215842.30: Sent packet 44 of size 154
1538215842.96: Sent packet 45 of size 35
1538215843.23: Sent packet 46 of size 109
1538215843.33: Sent packet 47 of size 155
1538215843.33: Sent packet 48 of size 98
1538215843.33: Sent packet 49 of size 57
1538215843.33: Sent packet 50 of size 203
1538215843.33: Sent packet 51 of size 55
1538215843.33: Sent packet 52 of size 59
1538215843.33: Sent packet 53 of size 106
1538215843.33: Sent packet 54 of size 205
1538215843.33: Sent packet 55 of size 16
1538215843.33: Sent packet 56 of size 174
1538215843.33: Sent packet 57 of size 223
1538215843.33: Sent packet 58 of size 209
1538215843.33: Sent packet 59 of size 51
1538215843.33: Sent packet 60 of size 168
1538215843.33: Sent packet 61 of size 211
1538215843.33: Sent packet 62 of size 183
1538215843.33: Sent packet 63 of size 79
1538215843.33: Sent packet 64 of size 93
1538215843.33: Sent packet 65 of size 179
1538215843.33: Sent packet 66 of size 60
1538215843.33: Sent packet 67 of size 96
1538215843.33: Sent packet 68 of size 193
1538215843.33: Sent packet 69 of size 164
1538215843.33: Sent packet 70 of size 180
1538215843.33: Sent packet 71 of size 18
1538215843.33: Sent packet 72 of size 183
1538215843.33: Sent packet 73 of size 10
1538215843.33: Sent packet 74 of size 112
1538215843.33: Sent packet 75 of size 153
1538215843.33: Sent packet 76 of size 2
1538215843.33: Sent packet 77 of size 3
1538215843.33: Sent packet 78 of size 85
1538215843.43: Sent packet 79 of size 205
1538215843.45: Sent packet 80 of size 36
1538215843.76: Sent packet 81 of size 235
1538215844.01: Sent packet 82 of size 206
1538215844.13: Sent packet 83 of size 86
1538215844.15: Sent packet 84 of size 184
1538215844.31: Sent packet 85 of size 159
1538215844.57: Sent packet 86 of size 64
1538215844.96: Sent packet 87 of size 195
1538215845.23: Sent packet 88 of size 7
1538215845.23: Sent packet 89 of size 163
1538215845.24: Sent packet 90 of size 141
1538215845.30: Sent packet 91 of size 19
1538215845.34: Sent packet 92 of size 227
1538215845.61: Sent packet 93 of size 57
1538215845.69: Sent packet 94 of size 116
1538215845.78: Sent packet 95 of size 212
1538215845.80: Sent packet 96 of size 185
1538215845.80: Sent packet 97 of size 134
1538215845.80: Sent packet 98 of size 1
1538215845.80: Sent packet 99 of size 72
1538215845.89: Sent packet 100 of size 225
1538215845.99: Sent packet 101 of size 12
1538215846.16: Sent packet 102 of size 240
1538215846.16: Sent packet 103 of size 163
1538215846.17: Sent packet 104 of size 141
1538215846.25: Sent packet 105 of size 220
1538215846.38: Sent packet 106 of size 84
1538215846.43: Sent packet 107 of size 109
1538215846.58: Sent packet 108 of size 46
1538215846.58: Sent packet 109 of size 46
1538215846.59: Sent packet 110 of size 117
1538215846.59: Sent packet 111 of size 161
1538215846.65: Sent packet 112 of size 53
1538215846.98: Sent packet 113 of size 73
1538215847.14: Sent packet 114 of size 111
1538215847.60: Sent packet 115 of size 161
1538215847.61: Sent packet 116 of size 218
1538215847.69: Sent packet 117 of size 13
1538215847.72: Sent packet 118 of size 35
1538215847.98: Sent packet 119 of size 67
1538215848.09: Sent packet 120 of size 192
1538215848.17: Sent packet 121 of size 56
1538215848.20: Sent packet 122 of size 87
1538215848.31: Sent packet 123 of size 55
1538215848.51: Sent packet 124 of size 214
1538215848.58: Sent packet 125 of size 211
1538215848.76: Sent packet 126 of size 60
1538215848.81: Sent packet 127 of size 149
1538215848.89: Sent packet 128 of size 39
1538215849.35: Sent packet 129 of size 232
1538215849.60: Sent packet 130 of size 52
1538215849.71: Sent packet 131 of size 74
1538215849.82: Sent packet 132 of size 229
1538215849.82: Sent packet 133 of size 104
1538215849.82: Sent packet 134 of size 58
1538215849.82: Sent packet 135 of size 127
1538215849.82: Sent packet 136 of size 131
1538215849.82: Sent packet 137 of size 44
1538215849.82: Sent packet 138 of size 149
1538215849.82: Sent packet 139 of size 161
1538215849.86: Sent packet 140 of size 84
1538215849.93: Sent packet 141 of size 209
1538215850.03: Sent packet 142 of size 102
1538215850.21: Sent packet 143 of size 149
1538215850.35: Sent packet 144 of size 28
1538215850.48: Sent packet 145 of size 112
1538215850.57: Sent packet 146 of size 33
1538215850.61: Sent packet 147 of size 98
1538215850.74: Sent packet 148 of size 128
1538215850.88: Sent packet 149 of size 202
1538215850.97: Sent packet 150 of size 168
1538215851.26: Sent packet 151 of size 36
1538215851.29: Sent packet 152 of size 89
1538215851.33: Sent packet 153 of size 13
1538215851.36: Sent packet 154 of size 156
1538215851.49: Sent packet 155 of size 6
1538215851.61: Sent packet 156 of size 210
1538215851.73: Sent packet 157 of size 203
1538215851.75: Sent packet 158 of size 90
1538215851.91: Sent packet 159 of size 236
1538215851.93: Sent packet 160 of size 1
1538215851.97: Sent packet 161 of size 135
1538215852.08: Sent packet 162 of size 225
1538215852.17: Sent packet 163 of size 118
1538215852.27: Sent packet 164 of size 72
1538215852.27: Sent packet 165 of size 158
1538215852.40: Sent packet 166 of size 161
1538215852.43: Sent packet 167 of size 83
1538215852.48: Sent packet 168 of size 214
1538215852.57: Sent packet 169 of size 116
1538215852.70: Sent packet 170 of size 128
1538215852.75: Sent packet 171 of size 74
1538215852.82: Sent packet 172 of size 178
1538215852.83: Sent packet 173 of size 109
1538215852.85: Sent packet 174 of size 14
1538215852.88: Sent packet 175 of size 128
1538215852.94: Sent packet 176 of size 41
1538215852.96: Sent packet 177 of size 171
1538215852.96: Sent packet 178 of size 33
1538215852.96: Sent packet 179 of size 196
1538215852.96: Sent packet 180 of size 179
1538215852.96: Sent packet 181 of size 92
1538215852.96: Sent packet 182 of size 85
1538215852.96: Sent packet 183 of size 177
1538215852.96: Sent packet 184 of size 228
1538215852.96: Sent packet 185 of size 84
1538215852.96: Sent packet 186 of size 9
1538215852.96: Sent packet 187 of size 114
1538215852.96: Sent packet 188 of size 224
1538215852.96: Sent packet 189 of size 205
1538215852.96: Sent packet 190 of size 5
1538215852.96: Sent packet 191 of size 204
1538215852.96: Sent packet 192 of size 179
1538215852.96: Sent packet 193 of size 225
1538215852.96: Sent packet 194 of size 227
1538215852.96: Sent packet 195 of size 134
1538215852.96: Sent packet 196 of size 103
1538215852.96: Sent packet 197 of size 125
1538215852.96: Sent packet 198 of size 27
1538215853.08: Sent packet 199 of size 152
1538215853.27: Sent packet 200 of size 45
1538215853.35: Sent packet 201 of size 4
1538215853.73: Sent packet 202 of size 222
1538215853.85: Sent packet 203 of size 26
1538215853.95: Sent packet 204 of size 105
1538215853.95: Sent packet 205 of size 153
1538215853.95: Sent packet 206 of size 230
1538215853.95: Sent packet 207 of size 195
1538215853.95: Sent packet 208 of size 23
1538215853.95: Sent packet 209 of size 113
1538215853.95: Sent packet 210 of size 133
1538215853.95: Sent packet 211 of size 230
1538215853.95: Sent packet 212 of size 220
1538215853.95: Sent packet 213 of size 159
1538215853.95: Sent packet 214 of size 54
1538215853.95: Sent packet 215 of size 36
1538215853.95: Sent packet 216 of size 23
1538215853.95: Sent packet 217 of size 55
1538215853.95: Sent packet 218 of size 146
1538215853.95: Sent packet 219 of size 154
1538215853.95: Sent packet 220 of size 22
1538215853.95: Sent packet 221 of size 36
